STUDY_ID	SAMPLE_ID	KRAS	BRCA1	POLE
brca_tcga_pub	TCGA-A8-A06Y-01	-0.4739	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07E-01	1.4999	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07F-01	-0.609	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07G-01	0.3694	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07J-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A07P-01	0.8862	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A083-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A086-01	-0.4448	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08A-01	1.209	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08C-01	0.5031	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08O-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08T-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A08Z-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A090-01	1.5916	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A091-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A093-01	-0.2061	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A099-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A09A-01	-0.0799	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A09B-01	-0.5204	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A09T-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A09V-01	-0.1906	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A0A1-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A0A2-01	1.3394	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A0A4-01	-0.12	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A0A6-01	0.1196	-0.0961	-0.0852
brca_tcga_pub	TCGA-A8-A0AD-01	2.9327	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A03X-01	2.0644	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A046-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A04A-01	0.5433	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FD-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FN-01	0.9245	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FS-01	0.2721	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FT-01	1.3499	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FW-01	-0.7906	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0FZ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XL-01	0.3176	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XN-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XO-01	-0.2313	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XP-01	1.3403	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XS-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XT-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AN-A0XV-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A0TW-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AK-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AL-01	-0.6223	-0.0961	-0.0852
brca_tcga_pub	TCGA-AR-A1AN-01	-0.8369	-0.0961	-0.0852
